Bug,Bug_Id,Project
source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java/getLegendItems,1,Chart
source/org/jfree/data/general/DatasetUtilities.java/iterateDomainBounds,2,Chart
source/org/jfree/data/general/DatasetUtilities.java/iterateRangeBounds,2,Chart
source/org/jfree/data/time/TimeSeries.java/createCopy,3,Chart
source/org/jfree/chart/plot/XYPlot.java/getDataRange,4,Chart
source/org/jfree/data/xy/XYSeries.java/addOrUpdate,5,Chart
source/org/jfree/chart/util/ShapeList.java/equals,6,Chart
source/org/jfree/data/time/TimePeriodValues.java/updateBounds,7,Chart
source/org/jfree/data/time/Week.java/Week,8,Chart
source/org/jfree/data/time/TimeSeries.java/createCopy,9,Chart
source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java/generateToolTipFragment,10,Chart
source/org/jfree/chart/util/ShapeUtilities.java/equal,11,Chart
source/org/jfree/chart/plot/MultiplePiePlot.java/MultiplePiePlot,12,Chart
source/org/jfree/chart/block/BorderArrangement.java/arrangeFF,13,Chart
source/org/jfree/chart/plot/CategoryPlot.java/removeDomainMarker,14,Chart
source/org/jfree/chart/plot/CategoryPlot.java/removeRangeMarker,14,Chart
source/org/jfree/chart/plot/XYPlot.java/removeDomainMarker,14,Chart
source/org/jfree/chart/plot/XYPlot.java/removeRangeMarker,14,Chart
source/org/jfree/chart/plot/PiePlot.java/setExplodePercent,15,Chart
source/org/jfree/chart/plot/PiePlot.java/initialise,15,Chart
source/org/jfree/data/category/DefaultIntervalCategoryDataset.java/DefaultIntervalCategoryDataset,16,Chart
source/org/jfree/data/category/DefaultIntervalCategoryDataset.java/setCategoryKeys,16,Chart
source/org/jfree/data/time/TimeSeries.java/createCopy/delete,17,Chart
source/org/jfree/data/DefaultKeyedValues.java/rebuildIndex,18,Chart
source/org/jfree/data/DefaultKeyedValues.java/removeValue,18,Chart
source/org/jfree/data/DefaultKeyedValues2D.java/removeColumn,18,Chart
source/org/jfree/chart/plot/CategoryPlot.java/getDomainAxisIndex,19,Chart
source/org/jfree/chart/plot/CategoryPlot.java/getRangeAxisIndex,19,Chart
source/org/jfree/chart/plot/ValueMarker.java/ValueMarker,20,Chart
source/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java/add,21,Chart
source/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java/updateBounds,21,Chart
source/org/jfree/data/KeyedObjects2D.java/getObject,22,Chart
source/org/jfree/data/KeyedObjects2D.java/removeObject,22,Chart
source/org/jfree/data/KeyedObjects2D.java/removeRow,22,Chart
source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java/equals,23,Chart
