test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
1,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1017156556_firstPreciserScopeKnowingConditionOutcome_0_basic.dot,1,1,Constant,1.,1.
2,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1017156556_nextPreciserScopeKnowingConditionOutcome_0_basic.dot,2,2,Constant,2.,2.
3,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1099564248_<init>_0_basic.dot,1,1,Constant,1.,1.
4,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1099564248_intersectsLocation_0_basic.dot,2,2,Constant,2.,2.
5,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1099564248_isEmpty_0_basic.dot,2,2,Constant,2.,2.
6,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1099564248_join_0_basic.dot,1,1,Constant,1.,1.
7,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/1191139621_effectMaskForVariableReference_0_basic.dot,6,6,Constant,6.,6.
8,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/1191139621_findStorageLocationReferences_0_basic.dot,1,1,Constant,1.,1.
9,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1230318108_processGlobalFunctionDeclaration_0_basic.dot,6,8,Constant,8.,8.
10,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/1242817181_caseAllType_0_basic.dot,1,1,Constant,1.,1.
11,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/1242817181_caseEnumElementType_0_basic.dot,1,1,Constant,1.,1.
12,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/1242817181_caseNoType_0_basic.dot,1,1,Constant,1.,1.
13,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/1242817181_caseUnionType_0_basic.dot,1,1,Constant,1.,1.
14,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/1242817181_caseUnknownType_0_basic.dot,1,1,Constant,1.,1.
15,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1369368644_classDefiningCallsHaveSideEffects_0_basic.dot,1,1,Constant,1.,1.
16,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1369368644_keepSimplifiedHookExpression_0_basic.dot,8,38,Constant,38.,38.
17,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1369368644_keepSimplifiedShortCircuitExpression_0_basic.dot,3,3,Constant,3.,3.
18,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1369368644_keepSubTree_0_basic.dot,1,1,Constant,1.,1.
19,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1369368644_simplifyShortCircuitBranch_0_basic.dot,4,6,Exponential,9.94*2.^(0.25*n),2. + 9.94*2.^(0.25*n)
20,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-138908579_jsdocContainsDeclarations_0_basic.dot,3,3,Constant,3.,3.
21,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-14247747_caseBooleanType_0_basic.dot,1,1,Constant,1.,1.
22,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-14247747_caseFunctionType_0_basic.dot,1,1,Constant,1.,1.
23,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-14247747_caseNoObjectType_0_basic.dot,1,1,Constant,1.,1.
24,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-14247747_caseNullType_0_basic.dot,1,1,Constant,1.,1.
25,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-14247747_caseNumberType_0_basic.dot,1,1,Constant,1.,1.
26,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-14247747_caseObjectType_0_basic.dot,1,1,Constant,1.,1.
27,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-14247747_caseStringType_0_basic.dot,1,1,Constant,1.,1.
28,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-14247747_caseTopType_0_basic.dot,3,3,Constant,3.,3.
29,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-14247747_caseVoidType_0_basic.dot,1,1,Constant,1.,1.
30,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-14247747_<init>_0_basic.dot,1,1,Constant,1.,1.
31,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-14247747_matchesExpectation_0_basic.dot,2,2,Constant,2.,2.
32,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1651873940_getAnnotation_0_basic.dot,1,1,Constant,1.,1.
33,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1651873940_setAnnotation_0_basic.dot,1,1,Constant,1.,1.
34,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1652152537_getAnnotation_0_basic.dot,1,1,Constant,1.,1.
35,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/-1652152537_setAnnotation_0_basic.dot,1,1,Constant,1.,1.
36,/home/tuann7/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Bmath82/168509632_caseFunctionType_0_basic.dot,1,1,Constant,1.,1.
