test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
1,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/1006028670_maybeGetSingleReturnRValue_0_basic.dot,3,3,Constant,3.,3.
2,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1017156556_firstPreciserScopeKnowingConditionOutcome_0_basic.dot,1,1,Constant,1.,1.
3,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1017156556_nextPreciserScopeKnowingConditionOutcome_0_basic.dot,2,2,Constant,2.,2.
4,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1099564248_<init>_0_basic.dot,1,1,Constant,1.,1.
5,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1099564248_intersectsLocation_0_basic.dot,2,2,Constant,2.,2.
6,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1099564248_isEmpty_0_basic.dot,2,2,Constant,2.,2.
7,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1099564248_join_0_basic.dot,1,1,Constant,1.,1.
8,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1124997374_addCandidateNameReference_0_basic.dot,2,2,Constant,2.,2.
9,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1163846291_setManageClosureDependencies_0_basic.dot,1,1,Constant,1.,1.
10,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/1191139621_calculateLocationSummary_0_basic.dot,5,9,Exponential,6.22*1.35^n,0.14 + 0.05*0.91^n + 0.7000000000000001*1.17^n + 3.11*1.31^n + 6.22*1.35^n
11,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/1191139621_effectMaskForVariableReference_0_basic.dot,6,6,Constant,6.,6.
12,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/1191139621_findStorageLocationReferences_0_basic.dot,1,1,Constant,1.,1.
13,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1230318108_isGlobalFunctionDeclaration_0_basic.dot,5,5,Constant,5.,5.
14,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1230318108_processGlobalFunctionDeclaration_0_basic.dot,6,8,Constant,8.,8.
15,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1231549558_hasNext_0_basic.dot,3,3,Constant,3.,3.
16,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1231549558_<init>_0_basic.dot,1,1,Constant,1.,1.
17,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1231549558_next_0_basic.dot,1,1,Constant,1.,1.
18,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1231549558_remove_0_basic.dot,1,1,Constant,1.,1.
19,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/1242817181_caseAllType_0_basic.dot,1,1,Constant,1.,1.
20,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/1242817181_caseEnumElementType_0_basic.dot,1,1,Constant,1.,1.
21,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/1242817181_caseNoType_0_basic.dot,1,1,Constant,1.,1.
22,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/1242817181_caseUnionType_0_basic.dot,1,1,Constant,1.,1.
23,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/1242817181_caseUnknownType_0_basic.dot,1,1,Constant,1.,1.
24,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/1242817181_<init>_0_basic.dot,1,1,Constant,1.,1.
25,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1369368644_classDefiningCallsHaveSideEffects_0_basic.dot,1,1,Constant,1.,1.
26,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1369368644_<init>_0_basic.dot,1,1,Constant,1.,1.
27,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1369368644_keepSimplifiedHookExpression_0_basic.dot,8,38,Constant,38.,38.
28,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1369368644_keepSimplifiedShortCircuitExpression_0_basic.dot,3,3,Constant,3.,3.
29,/home/ashiran/Tung/PAC1/PathComplexity/scripts/cfgextractor/outputs/Fclosure76/-1369368644_keepSubTree_0_basic.dot,1,1,Constant,1.,1.
