test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
1,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/-1092402513_hackClassNameToMatchNewlyCreatedClass_0_basic.dot,2,2,Constant,2.,2.
2,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/-1092402513_notMarkedAsAMockitoMock_0_basic.dot,2,2,Constant,2.,2.
3,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/-1092402513_resolveClass_0_basic.dot,2,2,Constant,2.,2.
4,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/1106147769_objectThatIsAssignableFrom_0_basic.dot,3,3,Polynomial,0.67*n,3.38 + 0.67*n
5,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/1106147769_resolveTypeInstances_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
6,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/-1113115102_<init>_0_basic.dot,1,1,Constant,1.,1.
7,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/-1113115102_readResolve_0_basic.dot,3,3,Constant,3.,3.
8,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/-1241578286_biggestConstructor_0_basic.dot,1,1,Constant,1.,1.
9,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/-1241578286_checkParameterized_0_basic.dot,2,2,Constant,2.,2.
10,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/1260419516_annotateClass_0_basic.dot,1,1,Constant,1.,1.
11,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/1260419516_mockitoProxyClassMarker_0_basic.dot,2,2,Constant,2.,2.
12,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/1322730138_actualParameterizedType_0_basic.dot,1,1,Constant,1.,1.
13,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/1322730138_<init>_0_basic.dot,1,1,Constant,1.,1.
14,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/1322730138_writeReplace_0_basic.dot,1,1,Constant,1.,1.
15,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/-1840167086_extractActualBoundedTypeOf_0_basic.dot,4,4,Constant,4.,4.
16,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/293594159_compare_0_basic.dot,1,1,Constant,1.,1.
17,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/293594159_<init>_0_basic.dot,1,1,Constant,1.,1.
18,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/478357541_getSuspiciouslyNotMatchingArgsIndexes_0_basic.dot,7,7,Exponential,8.84*1.41^n,0.75 + 0.04*0.87^n + 0.09*0.92^n + 0.36*1.04^n + 8.84*1.41^n
19,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/740763820_tryPropertyOrFieldInjection_0_basic.dot,1,1,Constant,1.,1.
20,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/-757365728_<init>_0_basic.dot,1,1,Constant,1.,1.
21,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/-757365728_rawType_0_basic.dot,1,1,Constant,1.,1.
22,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/-757365728_readActualTypeParameters_0_basic.dot,1,1,Constant,1.,1.
23,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/844176607_countMockableParams_0_basic.dot,3,3,Exponential,2.92*1.22^n,1. + 0.02*0.72^n + 0.45*1.06^n + 2.92*1.22^n
24,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/FMockito7/-865996219_readActualTypeParametersOnDeclaringClass_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
