test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
1,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-1037566323_parseOptimizationData_0_basic.dot,3,3,Polynomial,0.67*n,3.05 + 0.67*n
2,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/1075719341_boundedToUnbounded_0_basic.dot,1,1,Constant,1.,1.
3,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/1075719341_unboundedToBounded_0_basic.dot,1,1,Constant,1.,1.
4,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-1278229297_boundedToUnbounded_0_basic.dot,1,1,Constant,1.,1.
5,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-1278229297_unboundedToBounded_0_basic.dot,1,1,Constant,1.,1.
6,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/12867903_visitInternalNode_0_basic.dot,3,4,Constant,4.,4.
7,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-1415665756_boundedToUnbounded_0_basic.dot,1,1,Constant,1.,1.
8,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-1415665756_unboundedToBounded_0_basic.dot,1,1,Constant,1.,1.
9,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/1527373932_boundedToUnbounded_0_basic.dot,1,1,Constant,1.,1.
10,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/1527373932_unboundedToBounded_0_basic.dot,1,1,Constant,1.,1.
11,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-1585325846_computeInterpolatedStateAndDerivatives_0_basic.dot,5,6,Polynomial,1.5*n,10. + 1.5*n
12,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/1598157654_computeInterpolatedStateAndDerivatives_0_basic.dot,5,8,Exponential,7.59*1.29^n,0. + 0.06*0.72^n + 0.71*1.1300000000000001^n + 0.01*1.16^n + 7.59*1.29^n
13,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/1716225859_computeInterpolatedStateAndDerivatives_0_basic.dot,10,60,Exponential,253.14000000000001*1.62^(0.5*n),3. + 253.14000000000001*1.62^(0.5*n)
14,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-1817263977_boundedToUnbounded_0_basic.dot,1,1,Constant,1.,1.
15,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-1817263977_<init>_0_basic.dot,1,1,Constant,1.,1.
16,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-1817263977_unboundedToBounded_0_basic.dot,1,1,Constant,1.,1.
17,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-1867320347_boundedToUnbounded_0_basic.dot,1,1,Constant,1.,1.
18,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-1867320347_unboundedToBounded_0_basic.dot,1,1,Constant,1.,1.
19,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/1967573821_getBracketingStep_0_basic.dot,1,1,Constant,1.,1.
20,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/1967573821_<init>_0_basic.dot,1,1,Constant,1.,1.
21,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-2032780038_<init>_0_basic.dot,1,1,Constant,1.,1.
22,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-2032780038_precondition_0_basic.dot,1,1,Constant,1.,1.
23,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/2035259040_getFittedModel_0_basic.dot,1,1,Constant,1.,1.
24,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/2035259040_getLogLikelihood_0_basic.dot,1,1,Constant,1.,1.
25,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-2095168208_<init>_0_basic.dot,1,1,Constant,1.,1.
26,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-2095168208_precondition_0_basic.dot,1,1,Constant,1.,1.
27,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/215127998_boundedToUnbounded_0_basic.dot,1,1,Constant,1.,1.
28,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/215127998_unboundedToBounded_0_basic.dot,1,1,Constant,1.,1.
29,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-272697504_computeDerivativeObjectiveValue_0_basic.dot,1,1,Constant,1.,1.
30,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-277319156_estimateRegressionParametersStandardErrors_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
31,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-277319156_estimateRegressionParametersVariance_0_basic.dot,1,1,Constant,1.,1.
32,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/293427759_<clinit>_0_basic.dot,1,1,Constant,1.,1.
33,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/390943684_computeWeightedJacobian_0_basic.dot,1,1,Constant,1.,1.
34,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/563897931_<init>_0_basic.dot,1,1,Constant,1.,1.
35,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/563897931_value_0_basic.dot,3,4,Polynomial,0.12*n^2.,3. + 1.25*n + 0.12*n^2.
36,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-646796834_illumination_0_basic.dot,1,1,Constant,1.,1.
37,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-646796834_<init>_0_basic.dot,1,1,Constant,1.,1.
38,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-646796834_normal_0_basic.dot,1,1,Constant,1.,1.
39,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-646796834_reset_0_basic.dot,1,1,Constant,1.,1.
40,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-646796834_sample_0_basic.dot,1,1,Constant,1.,1.
41,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/-646796834_store_0_basic.dot,2,2,Constant,2.,2.
