Kind,Name,AvgCyclomaticModified,AvgEssential,AvgLineBlank,AvgLineComment,CountClassCoupled,CountDeclClass,CountDeclClassVariable,CountDeclFile,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodPublic,CountLine,CountLineCode,CountLineCodeExe,CountOutput,CountPathLog,CountStmt,Cyclomatic,CyclomaticStrict,Knots,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MinEssentialKnots,AvgCyclomatic,AvgCyclomaticStrict,AvgLine,AvgLineCode,CountClassBase,CountClassDerived,CountDeclClassMethod,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodProtected,CountInput,CountLineBlank,CountLineCodeDecl,CountLineComment,CountPath,CountSemicolon,CountStmtDecl,CountStmtExe,CyclomaticModified,Essential,MaxCyclomatic,MaxCyclomaticStrict,MaxEssentialKnots,MaxNesting,PercentLackOfCohesion,SumCyclomatic,SumCyclomaticStrict,SumEssential,SumCyclomaticModified,RatioCommentToCode
Package,"(Unnamed_Package)",2,1,0,4,,3,9,2,11,,0,4,23,811,535,420,,,362,,,,25,12,,,3,3,23,17,,,18,,,4,29,2,,71,104,206,,275,101,261,,,25,35,,6,,94,105,49,85,0.39
File,"AbstractRangeTest.java",1,1,2,0,,2,0,,19,,0,0,17,364,275,205,,,251,,,,1,1,,,1,1,16,14,,,0,17,19,24,19,2,,61,53,28,,232,48,203,,,1,1,,0,,17,17,17,17,0.10
File,"AggregateTranslator.java",2,2,0,5,,1,0,,2,,0,0,2,55,18,6,,,14,,,,3,3,,,2,2,11,6,,,0,2,2,1,2,0,,6,8,31,,8,9,5,,,3,3,,2,,4,4,4,4,1.72
File,"Ambig.java",0,0,0,0,,1,0,,0,,0,0,0,24,3,0,,,2,,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,1,2,20,,1,2,0,,,0,0,,0,,0,0,0,0,6.67
File,"ArrayUtils.java",2,1,0,14,,1,20,,1,,0,3,172,4422,1589,966,,,1228,,,,10,9,,,2,3,23,8,,,174,175,175,0,175,0,,193,333,2640,,757,373,855,,,10,10,,3,,481,567,339,481,1.66
File,"ArrayUtilsAddTest.java",2,1,3,1,,1,0,,11,,0,0,13,585,485,416,,,399,,,,25,1,,,2,2,41,36,,,2,13,13,0,13,0,,60,58,40,,361,58,341,,,25,25,,1,,37,37,13,37,0.08
File,"ArrayUtilsRemoveTest.java",2,1,0,0,,1,0,,18,,0,0,20,461,415,346,,,364,,,,4,1,,,2,2,20,20,,,2,20,20,0,20,0,,24,49,22,,316,46,318,,,4,4,,1,,47,47,20,47,0.05
File,"ArrayUtilsTest.java",1,1,2,0,,2,0,,129,,0,1,128,2573,2033,1746,,,1464,,,,4,1,,,1,1,18,15,,,2,131,131,0,131,2,,443,409,97,,1316,395,1069,,,4,4,,1,,147,147,131,147,0.05
File,"Bar.java",0,0,0,0,,1,1,,0,,0,0,0,25,4,1,,,3,,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,1,3,20,,2,3,0,,,0,0,,0,,0,0,0,0,5.00
File,"BitField.java",1,1,0,9,,1,0,,18,,0,0,18,290,68,25,,,47,,,,3,1,,,1,1,13,3,,,0,18,18,2,18,0,,22,24,200,,26,24,23,,,3,3,,2,,23,23,18,23,2.94
File,"BitFieldTest.java",1,1,0,2,,1,3,,16,,0,0,18,267,165,113,,,155,,,,4,1,,,1,1,11,8,,,2,18,18,0,18,0,,27,29,75,,127,38,117,,,4,4,,1,,27,27,18,27,0.45
File,"BooleanUtils.java",3,2,0,15,,1,0,,1,,0,0,36,945,289,176,,,199,,,,8,10,,,3,3,23,7,,,35,36,36,0,36,0,,41,45,615,,101,46,153,,,10,29,,3,,116,135,83,114,2.13
File,"BooleanUtilsTest.java",1,1,0,0,,1,0,,46,,0,0,46,592,472,365,,,308,,,,4,1,,,1,1,10,9,,,2,48,48,0,48,2,,79,72,42,,242,70,238,,,4,4,,1,,65,65,48,65,0.09
Public Class,"CalendarUtils",5,2,0,7,0,,9,,0,12,0,1,11,446,298,228,,,221,,,,25,12,1,,5,6,31,23,1,0,12,,,0,12,0,,31,62,118,,155,59,162,,,25,35,,6,91,70,81,32,61,0.40
Public Static Method,"CalendarUtils.getCalendarIterator",,,,,,,,,,,,,,94,79,63,5,2,53,16,16,9,,,,0,,,,,,,,,,,,,16,3,9,12,128,41,12,41,8,1,,,0,0,,16,16,1,8,0.15
Public Static Method,"CalendarUtils.getCalendarIterator",,,,,,,,,,,,,,8,5,3,3,0,4,1,1,0,,,,0,,,,,,,,,,,,,4,0,2,3,1,3,2,2,1,1,,,0,0,,1,1,1,1,0.60
Public Static Method,"CalendarUtils.getCalendarIterator",,,,,,,,,,,,,,13,9,6,3,0,6,3,3,2,,,,2,,,,,,,,,,,,,3,0,1,4,3,3,1,5,3,3,,,2,1,,3,3,3,3,0.44
Anonymous Class,"CalendarUtils.getCalendarIterator.(Anon_1)",1,1,0,0,1,,0,,3,3,0,0,3,22,19,13,,,12,,,,2,1,2,,1,1,4,4,1,0,0,,,1,3,0,,3,1,0,,8,4,8,,,2,2,,1,33,4,4,3,4,0.00
