Kind,Name,AvgCyclomaticModified,AvgEssential,AvgLineBlank,AvgLineComment,CountClassCoupled,CountDeclClass,CountDeclClassVariable,CountDeclFile,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodPublic,CountLine,CountLineCode,CountLineCodeExe,CountOutput,CountPathLog,CountStmt,Cyclomatic,CyclomaticStrict,Knots,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MinEssentialKnots,AvgCyclomatic,AvgCyclomaticStrict,AvgLine,AvgLineCode,CountClassBase,CountClassDerived,CountDeclClassMethod,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodProtected,CountInput,CountLineBlank,CountLineCodeDecl,CountLineComment,CountPath,CountSemicolon,CountStmtDecl,CountStmtExe,CyclomaticModified,Essential,MaxCyclomatic,MaxCyclomaticStrict,MaxEssentialKnots,MaxNesting,PercentLackOfCohesion,SumCyclomatic,SumCyclomaticStrict,SumEssential,SumCyclomaticModified,RatioCommentToCode
Package,"(Unnamed_Package)",1,1,0,0,,3,2,1,15,,0,0,16,189,138,77,,,98,,,,4,4,,,1,1,7,7,,,1,,,7,16,0,,32,63,19,,72,50,48,,,4,4,,2,,25,25,22,25,0.14
File,"AVLTree.java",3,2,0,4,,3,0,,26,,5,6,15,632,379,264,,,275,,,,10,5,,,3,3,19,13,,,0,26,24,9,26,0,,66,54,187,,200,56,219,,,10,13,,3,,95,98,60,87,0.49
File,"AVLTreeTest.java",2,1,2,0,,1,0,,8,,0,3,5,175,128,90,,,107,,,,3,1,,,2,2,17,14,,,0,8,8,0,8,0,,29,43,18,,89,36,71,,,3,3,,2,,17,17,8,17,0.14
File,"Abs.java",1,1,0,1,,1,0,,1,,0,0,1,34,8,1,,,6,,,,1,1,,,1,1,4,3,,,0,1,1,0,1,0,,3,5,23,,4,5,1,,,1,1,,0,,1,1,1,1,2.88
File,"AbstractConvergenceChecker.java",1,1,0,3,,1,2,,5,,0,0,5,89,27,8,,,18,,,,1,1,,,1,1,7,3,,,0,4,5,2,5,0,,8,16,54,,13,12,6,,,1,1,,0,,4,4,4,4,2.00
File,"AbstractDifferentiableUnivariateRealSolver.java",1,1,0,5,,1,0,,4,,0,0,0,80,26,6,,,15,,,,1,1,,,1,1,10,4,,,0,4,4,1,4,4,,7,15,47,,10,9,6,,,1,1,,0,,4,4,4,4,1.81
File,"AbstractFieldMatrix.java",2,1,1,2,,4,0,,70,,0,0,60,1123,748,452,,,624,,,,9,7,,,2,2,15,11,,,4,66,74,3,74,14,,149,218,227,,441,258,366,,,9,9,,3,,179,190,74,179,0.30
File,"AbstractFormat.java",1,1,0,6,,1,1,,9,,0,0,6,210,83,33,,,57,,,,4,1,,,1,1,11,5,,,4,13,13,2,13,7,,25,37,102,,39,30,27,,,4,5,,2,,18,19,13,18,1.23
File,"AbstractIntegerDistribution.java",2,1,0,6,,1,1,,9,,0,1,5,187,82,44,,,58,,,,7,1,,,2,2,16,9,,,0,7,9,1,9,3,,16,28,89,,40,27,31,,,7,8,,3,,17,18,7,17,1.09
File,"AbstractIntegrator.java",1,1,1,3,,2,0,,24,,0,0,18,414,223,108,,,170,,,,15,4,,,1,2,12,8,,,0,23,24,10,24,6,,70,87,121,,117,82,88,,,15,17,,3,,44,46,26,44,0.54
File,"AbstractLeastSquaresOptimizer.java",1,1,1,6,,1,1,,11,,0,0,7,269,121,57,,,106,,,,4,1,,,1,1,16,8,,,0,11,11,10,11,4,,24,56,124,,84,56,50,,,4,4,,3,,21,21,11,21,1.02
File,"AbstractLinearOptimizer.java",1,1,0,2,,1,1,,7,,0,0,4,130,46,13,,,33,,,,2,1,,,1,1,7,4,,,0,6,7,6,7,3,,23,26,61,,25,21,12,,,2,2,,1,,7,7,6,7,1.33
File,"AbstractListChromosome.java",1,1,0,3,,1,0,,7,,0,0,5,100,27,6,,,20,,,,1,1,,,1,1,7,3,,,0,5,7,1,7,2,,10,15,63,,14,14,6,,,1,1,,0,,5,5,5,5,2.33
File,"AbstractMultipleLinearRegression.java",2,1,0,8,,1,0,,19,,0,0,10,366,160,91,,,110,,,,9,1,,,2,2,16,8,,,0,17,19,3,19,9,,27,48,181,,73,51,59,,,9,9,,3,,40,43,17,40,1.13
File,"AbstractParameterizable.java",1,1,0,2,,1,0,,5,,0,0,3,81,35,12,,,26,,,,3,3,,,1,1,8,5,,,0,5,5,1,5,2,,11,13,35,,14,14,12,,,3,3,,2,,9,9,7,9,1.00
File,"AbstractPolynomialSolver.java",1,1,0,4,,1,0,,5,,0,0,0,81,28,6,,,15,,,,1,1,,,1,1,8,4,,,0,5,5,1,5,5,,6,16,47,,9,9,6,,,1,1,,0,,5,5,5,5,1.68
File,"AbstractRandomGenerator.java",1,1,0,10,,1,0,,13,,0,0,13,272,79,41,,,61,,,,5,4,,,1,1,17,6,,,0,11,13,1,13,0,,18,27,175,,39,29,32,,,5,5,,3,,21,21,14,21,2.22
File,"AbstractRandomGeneratorTest.java",1,1,0,0,,1,0,,2,,0,0,1,38,12,4,,,8,,,,1,1,,,1,1,4,4,,,0,2,2,0,2,1,,5,6,21,,5,5,3,,,1,1,,0,,2,2,2,2,1.75
File,"AbstractRealDistribution.java",3,1,1,8,,2,2,,8,,0,0,6,228,111,65,,,77,,,,15,6,,,3,3,21,12,,,0,8,8,2,8,2,,22,36,95,,51,35,42,,,15,19,,5,,25,29,13,25,0.86
