Kind,Name,AvgCyclomaticModified,AvgEssential,AvgLineBlank,AvgLineComment,CountClassCoupled,CountDeclClass,CountDeclClassVariable,CountDeclFile,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodPublic,CountLine,CountLineCode,CountLineCodeExe,CountOutput,CountPathLog,CountStmt,Cyclomatic,CyclomaticStrict,Knots,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MinEssentialKnots,AvgCyclomatic,AvgCyclomaticStrict,AvgLine,AvgLineCode,CountClassBase,CountClassDerived,CountDeclClassMethod,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodProtected,CountInput,CountLineBlank,CountLineCodeDecl,CountLineComment,CountPath,CountSemicolon,CountStmtDecl,CountStmtExe,CyclomaticModified,Essential,MaxCyclomatic,MaxCyclomaticStrict,MaxEssentialKnots,MaxNesting,PercentLackOfCohesion,SumCyclomatic,SumCyclomaticStrict,SumEssential,SumCyclomaticModified,RatioCommentToCode
File,"AIOOBExceptionWithAtLeastTest.java",1,1,2,0,,2,0,,4,,3,0,1,35,22,6,,,18,,,,1,1,,,1,1,10,8,,,0,1,4,0,4,0,,8,14,5,,15,13,5,,,1,1,,0,,1,1,1,1,0.23
File,"ASMifiable.java",0,0,0,0,,1,0,,1,,1,0,0,53,5,0,,,4,,,,0,0,,,0,0,0,0,,,0,0,1,0,1,0,,3,4,45,,3,4,0,,,0,0,,0,,0,0,0,0,9.00
File,"ASMifierAbstractVisitor.java",7,1,0,6,,1,0,,5,,2,0,3,222,134,100,,,125,,,,37,1,,,7,7,26,20,,,1,6,6,2,6,1,,11,26,78,,90,32,93,,,37,37,,2,,43,43,6,43,0.58
File,"ASMifierAnnotationVisitor.java",1,1,0,1,,1,0,,6,,0,0,6,127,70,44,,,54,,,,1,1,,,1,1,11,10,,,0,6,6,1,6,0,,10,18,47,,47,12,42,,,1,1,,0,,6,6,6,6,0.67
File,"ASMifierClassVisitor.java",5,1,0,1,,1,3,,11,,1,0,10,575,399,274,,,278,,,,36,1,,,5,6,33,31,,,1,12,12,1,12,1,,23,62,153,,219,38,240,,,36,48,,2,,65,83,12,60,0.38
File,"ASMifierFieldVisitor.java",1,1,0,3,,1,0,,1,,0,0,1,50,9,1,,,5,,,,1,1,,,1,1,6,3,,,0,1,1,0,1,0,,3,5,38,,3,4,1,,,1,1,,0,,1,1,1,1,4.22
File,"ASMifierMethodVisitor.java",1,1,0,0,,1,0,,26,,0,4,22,443,359,242,,,245,,,,6,1,,,2,2,14,13,,,0,26,26,0,26,0,,31,70,53,,203,43,202,,,12,12,,3,,56,56,26,45,0.15
File,"AbstractAwareMethod.java",0,0,0,0,,1,0,,1,,1,0,0,10,4,0,,,3,,,,0,0,,,0,0,0,0,,,0,0,1,0,1,0,,2,3,4,,2,3,0,,,0,0,,0,,0,0,0,0,1.00
File,"AbstractClassFilterTransformer.java",1,1,0,0,,1,0,,12,,0,0,10,85,56,14,,,31,,,,2,1,,,1,1,4,4,,,0,11,12,2,12,2,,14,30,16,,19,17,14,,,2,2,,0,,12,12,11,12,0.29
File,"AbstractClassGenerator.java",1,1,0,2,,3,2,,21,,0,2,13,244,155,81,,,113,,,,12,5,,,1,1,9,6,,,1,19,22,11,22,7,,27,54,62,,75,54,59,,,12,12,,5,,37,37,23,37,0.40
