Kind,Name,AvgCyclomaticModified,AvgEssential,AvgLineBlank,AvgLineComment,CountClassCoupled,CountDeclClass,CountDeclClassVariable,CountDeclFile,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodPublic,CountLine,CountLineCode,CountLineCodeExe,CountOutput,CountPathLog,CountStmt,Cyclomatic,CyclomaticStrict,Knots,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MinEssentialKnots,AvgCyclomatic,AvgCyclomaticStrict,AvgLine,AvgLineCode,CountClassBase,CountClassDerived,CountDeclClassMethod,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodProtected,CountInput,CountLineBlank,CountLineCodeDecl,CountLineComment,CountPath,CountSemicolon,CountStmtDecl,CountStmtExe,CyclomaticModified,Essential,MaxCyclomatic,MaxCyclomaticStrict,MaxEssentialKnots,MaxNesting,PercentLackOfCohesion,SumCyclomatic,SumCyclomaticStrict,SumEssential,SumCyclomaticModified,RatioCommentToCode
File,"AbstractCompiler.java",0,0,0,0,,1,0,,31,,24,0,7,205,38,0,,,37,,,,0,0,,,0,0,0,0,,,0,0,31,0,31,0,,35,37,132,,36,37,0,,,0,0,,0,,0,0,0,0,3.47
File,"AbstractCompilerRunner.java",4,1,3,5,,2,21,,15,,4,10,3,852,544,310,,,330,,,,22,5,,,4,4,29,20,,,8,21,23,3,23,6,,125,209,183,,226,129,201,,,22,23,,5,,97,101,27,97,0.34
File,"AbstractMessageFormatter.java",1,1,0,0,,2,1,,9,,3,1,5,88,49,17,,,31,,,,2,1,,,1,1,3,3,,,1,10,8,6,10,1,,15,22,24,,20,18,13,,,3,3,,1,,13,13,10,12,0.49
File,"AdjacencyGraph.java",0,0,0,0,,1,0,,5,,5,0,0,58,9,0,,,8,,,,0,0,,,0,0,0,0,,,0,0,5,0,5,0,,7,8,42,,7,8,0,,,0,0,,0,,0,0,0,0,4.67
File,"AliasExternals.java",2,1,1,6,,6,3,,25,,4,15,8,765,373,232,,,258,,,,11,4,,,2,3,20,11,,,2,27,27,21,27,0,,96,143,296,,174,134,124,,,11,11,,3,,75,97,34,73,0.79
File,"AliasExternalsTest.java",1,1,0,1,,1,3,,28,,0,2,24,385,272,205,,,89,,,,2,1,,,1,1,10,9,,,0,28,28,2,28,2,,44,45,74,,59,39,50,,,2,2,,1,,29,29,28,29,0.27
File,"AliasKeywords.java",1,1,0,3,,5,6,,28,,5,9,7,416,199,93,,,148,,,,4,3,,,1,1,9,5,,,2,27,30,8,30,9,,52,85,165,,95,82,66,,,4,4,,2,,43,43,31,43,0.83
File,"AliasKeywordsTest.java",1,1,0,1,,1,4,,8,,0,4,7,164,110,70,,,76,,,,2,1,,,1,1,9,8,,,4,12,12,0,12,1,,19,35,35,,59,28,48,,,2,2,,1,,16,16,12,16,0.32
File,"AliasStrings.java",3,1,1,7,,3,2,,12,,5,7,2,478,277,171,,,193,,,,11,8,,,4,5,25,16,,,2,14,14,20,14,0,,59,95,146,,139,91,102,,,17,20,,5,,59,76,26,45,0.53
File,"AliasStringsTest.java",1,1,2,2,,1,2,,14,,0,0,14,307,191,154,,,84,,,,2,1,,,1,1,18,12,,,0,14,14,3,14,0,,59,30,57,,68,26,58,,,2,2,,1,,15,15,14,15,0.30
