Kind,Name,AvgCyclomaticModified,AvgEssential,AvgLineBlank,AvgLineComment,CountClassCoupled,CountDeclClass,CountDeclClassVariable,CountDeclFile,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodPublic,CountLine,CountLineCode,CountLineCodeExe,CountOutput,CountPathLog,CountStmt,Cyclomatic,CyclomaticStrict,Knots,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MinEssentialKnots,AvgCyclomatic,AvgCyclomaticStrict,AvgLine,AvgLineCode,CountClassBase,CountClassDerived,CountDeclClassMethod,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodProtected,CountInput,CountLineBlank,CountLineCodeDecl,CountLineComment,CountPath,CountSemicolon,CountStmtDecl,CountStmtExe,CyclomaticModified,Essential,MaxCyclomatic,MaxCyclomaticStrict,MaxEssentialKnots,MaxNesting,PercentLackOfCohesion,SumCyclomatic,SumCyclomaticStrict,SumEssential,SumCyclomaticModified,RatioCommentToCode
Package,"(Unnamed_Package)",2,1,0,4,,3,9,2,11,,0,4,23,811,535,420,,,362,,,,25,12,,,3,3,23,17,,,18,,,4,29,2,,71,104,206,,275,101,261,,,25,35,,6,,94,105,49,85,0.39
File,"AggregateTranslator.java",2,2,0,5,,1,0,,2,,0,0,2,60,20,6,,,15,,,,3,3,,,2,2,11,6,,,0,2,2,1,2,0,,7,10,33,,9,10,5,,,3,3,,2,,4,4,4,4,1.65
File,"Ambig.java",0,0,0,0,,1,0,,0,,0,0,0,24,3,0,,,2,,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,1,2,20,,1,2,0,,,0,0,,0,,0,0,0,0,6.67
File,"ArrayUtils.java",2,1,0,13,,1,20,,1,,0,3,199,4967,1778,1078,,,1366,,,,10,9,,,2,3,22,8,,,201,202,202,0,202,0,,220,362,2976,,828,403,963,,,10,10,,3,,546,641,400,546,1.67
File,"ArrayUtilsAddTest.java",3,1,3,1,,1,0,,13,,0,0,13,591,488,416,,,394,,,,25,1,,,3,3,42,37,,,0,13,13,0,13,0,,59,61,44,,353,59,335,,,25,25,,1,,40,40,13,40,0.09
File,"ArrayUtilsRemoveTest.java",2,1,0,0,,1,0,,19,,0,0,19,464,418,353,,,368,,,,4,1,,,2,2,21,21,,,0,19,19,0,19,0,,24,46,22,,321,43,325,,,4,4,,1,,46,46,19,46,0.05
File,"ArrayUtilsTest.java",1,1,2,0,,2,0,,152,,0,2,151,2910,2255,1922,,,1659,,,,4,1,,,1,1,17,14,,,1,153,153,0,153,0,,471,499,184,,1489,487,1172,,,4,4,,1,,169,169,153,169,0.08
File,"BackgroundInitializer.java",1,1,0,9,,2,0,,15,,0,2,8,331,90,38,,,61,,,,3,1,,,1,1,14,5,,,0,14,15,4,15,5,,26,29,216,,38,28,33,,,3,3,,2,,21,21,14,21,2.40
File,"BackgroundInitializerTest.java",1,1,0,3,,3,0,,20,,0,1,18,294,185,117,,,136,,,,3,1,,,1,1,12,9,,,0,20,20,3,20,1,,24,60,85,,102,57,79,,,3,3,,2,,30,30,20,30,0.46
File,"Bar.java",0,0,0,0,,1,1,,0,,0,0,0,25,4,1,,,3,,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,1,3,20,,2,3,0,,,0,0,,0,,0,0,0,0,5.00
File,"BitField.java",1,1,0,9,,1,0,,18,,0,0,18,290,68,25,,,47,,,,3,1,,,1,1,13,3,,,0,18,18,2,18,0,,22,24,200,,26,24,23,,,3,3,,2,,23,23,18,23,2.94
File,"BitFieldTest.java",1,1,0,3,,1,3,,16,,0,0,16,254,154,109,,,146,,,,4,1,,,1,1,12,9,,,0,16,16,0,16,0,,25,23,75,,120,32,114,,,4,4,,1,,25,25,16,25,0.49
File,"BooleanUtils.java",3,2,0,15,,1,0,,1,,0,0,36,945,289,176,,,199,,,,8,10,,,3,3,23,7,,,35,36,36,0,36,0,,41,45,615,,101,46,153,,,10,29,,3,,116,135,83,114,2.13
File,"BooleanUtilsTest.java",1,1,0,0,,1,0,,44,,0,0,44,569,453,359,,,295,,,,4,1,,,1,1,10,10,,,0,44,44,0,44,0,,75,62,42,,233,62,233,,,4,4,,1,,61,61,44,61,0.09
Public Class,"CalendarUtils",5,2,0,7,0,,9,,0,12,0,1,11,446,298,228,,,221,,,,25,12,1,,5,6,31,23,1,0,12,,,0,12,0,,31,62,118,,155,59,162,,,25,35,,6,91,70,81,32,61,0.40
