Kind,Name,AvgCyclomaticModified,AvgEssential,AvgLineBlank,AvgLineComment,CountClassCoupled,CountDeclClass,CountDeclClassVariable,CountDeclFile,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodPublic,CountLine,CountLineCode,CountLineCodeExe,CountOutput,CountPathLog,CountStmt,Cyclomatic,CyclomaticStrict,Knots,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MinEssentialKnots,AvgCyclomatic,AvgCyclomaticStrict,AvgLine,AvgLineCode,CountClassBase,CountClassDerived,CountDeclClassMethod,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodProtected,CountInput,CountLineBlank,CountLineCodeDecl,CountLineComment,CountPath,CountSemicolon,CountStmtDecl,CountStmtExe,CyclomaticModified,Essential,MaxCyclomatic,MaxCyclomaticStrict,MaxEssentialKnots,MaxNesting,PercentLackOfCohesion,SumCyclomatic,SumCyclomaticStrict,SumEssential,SumCyclomaticModified,RatioCommentToCode
Package,"(Unnamed_Package)",1,1,0,0,,3,2,1,15,,0,0,16,189,138,77,,,98,,,,4,4,,,1,1,7,7,,,1,,,7,16,0,,32,63,19,,72,50,48,,,4,4,,2,,25,25,22,25,0.14
File,"AbstractContinuousDistribution.java",2,1,0,8,,2,1,,11,,0,0,6,232,90,45,,,62,,,,5,4,,,2,2,18,10,,,0,8,11,2,11,5,,20,38,122,,45,35,27,,,5,6,,2,,16,17,11,16,1.36
File,"AbstractConvergenceChecker.java",1,1,0,3,,1,2,,5,,0,0,5,89,27,8,,,18,,,,1,1,,,1,1,7,3,,,0,4,5,2,5,0,,8,16,54,,13,12,6,,,1,1,,0,,4,4,4,4,2.00
File,"AbstractDistribution.java",1,1,0,10,,1,1,,2,,0,0,1,69,21,7,,,13,,,,2,1,,,1,1,16,6,,,0,2,2,0,2,1,,6,11,42,,9,9,4,,,2,2,,1,,3,3,2,3,2.00
File,"AbstractEstimator.java",2,1,1,6,,1,1,,13,,0,0,8,318,138,75,,,121,,,,5,1,,,2,2,16,9,,,0,12,13,10,13,5,,41,62,139,,96,65,56,,,5,5,,3,,24,24,12,24,1.01
File,"AbstractFieldMatrix.java",2,1,1,2,,4,0,,69,,0,0,59,1109,751,436,,,584,,,,7,7,,,2,2,15,11,,,4,65,73,3,73,14,,156,238,203,,413,241,343,,,7,8,,3,,168,177,71,168,0.27
File,"AbstractFormat.java",1,1,0,6,,1,1,,9,,0,0,6,210,83,33,,,57,,,,4,1,,,1,1,11,5,,,4,13,13,2,13,7,,25,37,102,,39,30,27,,,4,5,,2,,18,19,13,18,1.23
File,"AbstractIntegerDistribution.java",2,1,0,11,,1,1,,13,,0,1,9,301,113,62,,,75,,,,7,1,,,2,2,20,9,,,0,10,13,1,13,3,,22,34,168,,50,32,43,,,7,8,,3,,24,25,10,24,1.49
File,"AbstractIntegrator.java",1,1,0,2,,2,0,,24,,0,0,18,274,142,54,,,91,,,,4,3,,,1,1,7,4,,,0,24,24,9,24,6,,44,56,88,,56,49,42,,,4,4,,2,,32,32,26,32,0.62
File,"AbstractLeastSquaresOptimizer.java",2,1,1,6,,1,0,,10,,0,0,6,258,128,62,,,108,,,,5,1,,,2,2,17,9,,,0,10,10,10,10,4,,25,58,105,,86,56,52,,,5,5,,3,,21,21,10,21,0.82
File,"AbstractLinearOptimizer.java",1,1,0,2,,1,1,,7,,0,0,4,130,46,13,,,33,,,,2,1,,,1,1,7,4,,,0,6,7,6,7,3,,23,26,61,,25,21,12,,,2,2,,1,,7,7,6,7,1.33
File,"AbstractListChromosome.java",1,1,0,3,,1,0,,7,,0,0,5,104,31,9,,,22,,,,2,1,,,1,1,7,4,,,0,5,7,1,7,2,,10,15,63,,15,14,8,,,2,2,,1,,6,6,5,6,2.03
File,"AbstractMultipleLinearRegression.java",2,1,0,8,,1,0,,19,,0,0,10,361,160,91,,,110,,,,9,1,,,2,2,16,8,,,0,17,19,3,19,9,,27,48,176,,73,51,59,,,9,9,,3,,40,43,17,40,1.10
File,"AbstractRandomGenerator.java",1,1,0,10,,1,0,,13,,0,0,13,272,79,41,,,61,,,,5,4,,,1,1,17,6,,,0,11,13,1,13,0,,18,27,175,,39,29,32,,,5,5,,3,,21,21,14,21,2.22
File,"AbstractRandomGeneratorTest.java",4,1,0,2,,1,0,,5,,0,0,5,144,96,69,,,83,,,,6,1,,,4,4,21,17,,,0,5,5,1,5,0,,14,28,34,,62,33,50,,,6,6,,2,,20,21,5,20,0.35
File,"AbstractRealMatrix.java",2,1,1,1,,6,0,,74,,0,0,72,1008,709,409,,,572,,,,7,7,,,2,2,13,10,,,0,66,74,7,74,2,,143,229,156,,412,240,332,,,7,8,,3,,159,164,72,159,0.22
File,"AbstractRealVector.java",1,1,0,1,,4,0,,106,,0,0,101,932,638,331,,,438,,,,4,3,,,1,1,7,5,,,0,105,106,5,106,5,,120,195,174,,270,198,240,,,4,7,,2,,169,189,107,169,0.27
File,"AbstractRealVectorTest.java",1,1,0,0,,3,0,,33,,2,1,31,244,185,83,,,163,,,,7,1,,,1,1,4,4,,,1,34,34,3,34,0,,40,79,19,,112,80,83,,,7,7,,2,,50,53,34,50,0.10
File,"AbstractScalarDifferentiableOptimizer.java",1,1,0,5,,1,0,,4,,0,0,1,86,30,4,,,19,,,,1,1,,,1,1,9,4,,,0,4,4,1,4,3,,7,22,49,,14,15,4,,,1,1,,0,,4,4,4,4,1.63
File,"AbstractStepInterpolator.java",1,1,2,6,,1,0,,22,,0,0,13,443,183,106,,,145,,,,5,1,,,1,1,17,8,,,0,18,22,10,22,9,,84,53,176,,116,46,99,,,5,5,,2,,32,32,18,32,0.96
File,"AbstractStorelessUnivariateStatistic.java",2,1,0,12,,1,0,,10,,0,0,10,183,58,22,,,38,,,,3,3,,,2,2,19,6,,,0,6,10,0,10,0,,13,24,112,,24,18,20,,,3,4,,2,,13,14,8,13,1.93
File,"AbstractUnivariateRealOptimizer.java",1,1,0,3,,1,0,,13,,0,0,11,173,82,27,,,55,,,,3,1,,,1,1,8,5,,,0,12,13,7,13,2,,15,40,76,,39,30,25,,,3,3,,1,,15,15,12,15,0.93
File,"AbstractUnivariateStatistic.java",3,1,2,20,,1,0,,7,,0,0,3,238,78,37,,,48,,,,9,1,,,3,4,36,13,,,0,5,7,0,7,4,,22,23,138,,29,16,32,,,9,10,,2,,18,20,5,18,1.77
File,"AbstractUnivariateStatisticTest.java",4,1,0,5,,1,0,,3,,0,0,3,103,67,46,,,49,,,,9,1,,,4,4,21,18,,,0,3,3,6,3,0,,7,13,37,,35,15,34,,,9,9,,2,,13,13,3,13,0.55
File,"AbstractWell.java",1,1,1,7,,1,1,,8,,0,0,3,182,61,31,,,53,,,,4,1,,,1,1,15,6,,,0,7,8,7,8,5,,32,22,89,,41,24,29,,,4,4,,2,,11,11,7,11,1.46
