Kind,Name,AvgCyclomaticModified,AvgEssential,AvgLineBlank,AvgLineComment,CountClassCoupled,CountDeclClass,CountDeclClassVariable,CountDeclFile,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodPublic,CountLine,CountLineCode,CountLineCodeExe,CountOutput,CountPathLog,CountStmt,Cyclomatic,CyclomaticStrict,Knots,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MinEssentialKnots,AvgCyclomatic,AvgCyclomaticStrict,AvgLine,AvgLineCode,CountClassBase,CountClassDerived,CountDeclClassMethod,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodProtected,CountInput,CountLineBlank,CountLineCodeDecl,CountLineComment,CountPath,CountSemicolon,CountStmtDecl,CountStmtExe,CyclomaticModified,Essential,MaxCyclomatic,MaxCyclomaticStrict,MaxEssentialKnots,MaxNesting,PercentLackOfCohesion,SumCyclomatic,SumCyclomaticStrict,SumEssential,SumCyclomaticModified,RatioCommentToCode
File,"AbstractChoice.java",1,1,0,0,,1,0,,4,,0,0,4,46,19,6,,,14,,,,1,1,,,1,1,3,3,,,0,4,4,2,4,0,,7,8,20,,9,8,6,,,1,1,,0,,4,4,4,4,1.05
File,"AbstractConverter.java",1,1,0,9,,1,0,,9,,0,0,8,161,39,10,,,28,,,,2,1,,,1,1,12,3,,,0,9,9,0,9,1,,12,20,110,,18,19,9,,,2,2,,0,,10,10,9,10,2.82
File,"AbstractDateTime.java",1,1,0,6,,1,0,,24,,0,0,23,317,102,38,,,71,,,,2,1,,,1,1,10,3,,,0,24,24,0,24,1,,28,39,187,,42,37,34,,,2,2,,1,,28,28,24,28,1.83
File,"AbstractDateTime.java",1,1,0,6,,1,0,,24,,0,0,23,319,97,33,,,67,,,,2,1,,,1,1,10,3,,,0,24,24,0,24,1,,28,38,194,,39,36,31,,,2,2,,1,,27,27,24,27,2.00
File,"AbstractDuration.java",2,1,0,8,,1,0,,10,,0,0,9,206,79,40,,,57,,,,5,3,,,2,2,15,6,,,0,10,10,0,10,1,,14,26,113,,37,25,32,,,5,5,,1,,21,21,14,21,1.43
File,"AbstractInstant.java",1,1,0,7,,1,0,,29,,0,0,28,442,148,62,,,103,,,,4,4,,,1,1,11,4,,,0,29,29,0,29,1,,36,55,258,,64,54,49,,,4,4,,1,,38,39,34,38,1.74
File,"AbstractInterval.java",1,1,0,10,,1,0,,26,,0,0,24,492,158,79,,,114,,,,3,3,,,1,1,15,5,,,0,26,26,0,26,2,,29,59,305,,76,59,55,,,3,5,,1,,37,44,28,37,1.93
File,"AbstractPartial.java",2,1,0,9,,1,0,,21,,0,0,16,420,160,79,,,130,,,,8,6,,,2,2,16,7,,,0,20,21,0,21,5,,24,44,236,,83,52,78,,,8,8,,2,,46,47,33,46,1.48
File,"AbstractPartialFieldProperty.java",1,1,0,7,,1,0,,24,,0,0,22,360,111,51,,,78,,,,4,3,,,1,1,12,4,,,0,21,24,0,24,2,,28,38,221,,48,38,40,,,4,5,,1,,29,31,27,29,1.99
File,"AbstractPeriod.java",1,1,0,7,,1,0,,12,,0,0,11,224,82,37,,,66,,,,6,6,,,1,1,13,5,,,0,12,12,0,12,1,,15,27,127,,43,30,36,,,6,7,,2,,22,23,17,22,1.55
File,"AbstractReadableInstantFieldProperty.java",1,1,0,7,,1,1,,32,,0,0,30,474,150,67,,,104,,,,4,3,,,1,1,12,4,,,0,30,32,0,32,2,,38,54,286,,63,54,50,,,4,5,,1,,40,42,36,40,1.91
File,"AbstractStringBasedJodaType.java",1,1,0,0,,1,1,,12,,0,0,10,94,58,21,,,42,,,,3,3,,,1,1,4,4,,,0,10,12,0,12,2,,18,24,18,,27,24,18,,,3,4,,1,,14,15,12,14,0.31
File,"AgeCalculator.java",1,1,1,0,,7,8,,21,,4,9,11,360,284,180,,,213,,,,4,1,,,1,1,11,10,,,3,24,24,9,24,0,,52,93,24,,175,95,118,,,11,11,,2,,42,42,24,35,0.08
File,"AnniversaryFactory.java",1,1,0,0,,1,0,,4,,0,0,2,46,21,6,,,14,,,,2,1,,,1,1,4,4,,,0,3,4,1,4,2,,5,10,20,,9,9,5,,,2,2,,1,,4,4,3,4,0.95
File,"AnnualHolidays.java",1,1,0,0,,1,0,,4,,0,0,2,49,22,8,,,18,,,,2,1,,,1,1,4,4,,,0,3,4,1,4,2,,5,11,22,,12,12,6,,,2,2,,1,,4,4,3,4,1.00
File,"Arrays.java",1,1,0,0,,1,0,,1,,0,1,2,23,15,6,,,9,,,,1,1,,,1,1,4,4,,,2,3,3,0,3,0,,6,6,2,,5,6,3,,,1,1,,0,,3,3,3,3,0.13
File,"AssembledChronology.java",2,1,0,0,,2,1,,47,,1,4,40,565,433,183,,,310,,,,41,1,,,2,2,7,7,,,2,48,49,73,49,4,,70,150,62,,219,142,168,,,41,46,,1,,129,137,48,129,0.14
File,"BaseChronology.java",1,1,0,6,,1,1,,50,,0,0,49,680,255,113,,,184,,,,7,1,,,1,1,11,5,,,0,46,50,0,50,1,,55,96,371,,120,93,91,,,7,7,,3,,63,65,46,63,1.45
File,"BaseDateTime.java",1,1,0,9,,1,1,,17,,0,0,13,332,105,33,,,59,,,,1,1,,,1,1,14,5,,,0,17,17,2,17,4,,23,60,204,,41,34,25,,,1,1,,0,,17,17,17,17,1.94
File,"BaseDateTimeField.java",1,1,0,12,,1,0,,51,,0,0,49,1006,311,172,,,228,,,,12,10,,,1,1,18,6,,,0,44,51,1,51,2,,67,93,643,,146,92,136,,,12,12,,3,,81,81,65,81,2.07
File,"BaseDuration.java",1,1,0,9,,1,1,,15,,0,0,10,272,74,26,,,54,,,,2,1,,,1,1,13,3,,,0,15,15,1,15,5,,21,35,177,,37,33,21,,,2,2,,1,,16,16,15,16,2.39
File,"BaseDurationField.java",1,1,0,4,,1,1,,12,,0,0,11,168,57,23,,,40,,,,3,3,,,1,1,8,4,,,0,12,12,1,12,1,,18,21,94,,24,21,19,,,3,3,,1,,15,15,14,15,1.65
File,"BaseInterval.java",1,1,0,7,,1,1,,11,,0,0,3,254,115,68,,,93,,,,4,1,,,1,1,16,8,,,0,11,11,3,11,8,,17,39,122,,76,37,56,,,4,4,,1,,17,18,11,17,1.06
File,"BaseLocal.java",1,1,0,8,,1,1,,2,,0,0,0,62,9,2,,,6,,,,1,1,,,1,1,11,3,,,0,1,2,0,2,2,,5,6,48,,4,5,1,,,1,1,,0,,1,1,1,1,5.33
File,"BasePartial.java",1,1,0,9,,1,1,,16,,0,0,5,305,96,44,,,75,,,,2,1,,,1,1,14,4,,,0,16,16,2,16,11,,22,37,187,,56,35,40,,,2,2,,1,,18,18,16,18,1.95
File,"BasePartial.java",1,1,0,9,,1,1,,16,,0,0,5,303,95,44,,,74,,,,2,1,,,1,1,14,4,,,0,16,16,2,16,11,,22,36,186,,55,34,40,,,2,2,,1,,18,18,16,18,1.96
File,"BasePeriod.java",1,1,0,8,,1,1,,31,,0,3,6,606,267,157,,,203,,,,7,1,,,1,1,16,7,,,0,31,31,2,31,22,,37,91,303,,149,89,114,,,7,10,,3,,54,60,31,54,1.13
File,"BaseSingleFieldPeriod.java",2,1,0,8,,1,1,,15,,0,0,12,344,140,70,,,106,,,,6,3,,,2,2,15,7,,,3,16,18,1,18,6,,24,49,180,,71,50,56,,,6,7,,3,,34,37,20,34,1.29
File,"BasicChronology.java",1,1,0,3,,3,22,,54,,42,1,10,776,395,226,,,288,,,,6,3,,,1,1,11,7,,,0,40,54,4,54,1,,102,140,279,,224,133,155,,,6,6,,2,,62,64,46,62,0.71
File,"BasicDayOfMonthDateTimeField.java",1,1,0,0,,1,1,,10,,1,1,7,105,61,27,,,48,,,,5,5,,,1,1,5,5,,,0,10,10,1,10,1,,14,23,30,,31,25,23,,,5,5,,4,,16,16,16,16,0.49
File,"BasicDayOfYearDateTimeField.java",1,1,0,1,,1,1,,10,,1,1,7,102,53,22,,,41,,,,3,3,,,1,1,5,4,,,0,10,10,1,10,1,,14,23,35,,27,24,17,,,3,3,,2,,14,15,12,14,0.66
File,"BasicFixedMonthChronology.java",1,1,0,0,,1,4,,15,,15,0,0,161,74,35,,,54,,,,3,1,,,1,1,5,4,,,0,15,15,0,15,0,,26,33,61,,35,32,22,,,3,3,,2,,21,21,15,21,0.82
File,"BasicGJChronology.java",5,1,1,3,,1,6,,8,,8,0,0,201,112,72,,,68,,,,24,1,,,5,5,14,10,,,0,8,8,2,8,0,,25,36,65,,47,31,37,,,24,24,,3,,43,44,8,43,0.58
File,"BasicMonthOfYearDateTimeField.java",2,1,0,5,,1,2,,18,,1,1,16,360,190,117,,,141,,,,7,3,,,2,2,15,9,,,0,18,18,3,18,0,,39,75,132,,102,70,71,,,7,8,,2,,39,40,20,39,0.69
File,"BasicSingleEraDateTimeField.java",1,1,0,1,,1,1,,16,,1,0,15,134,67,21,,,49,,,,2,1,,,1,1,4,3,,,0,16,16,1,16,0,,21,29,46,,31,29,20,,,2,3,,1,,17,18,16,17,0.69
File,"BasicWeekOfWeekyearDateTimeField.java",1,1,0,1,,1,1,,13,,1,1,10,120,64,26,,,47,,,,3,3,,,1,1,5,4,,,0,13,13,1,13,1,,18,26,38,,30,27,20,,,3,3,,2,,17,17,15,17,0.59
File,"BasicWeekyearDateTimeField.java",1,1,0,5,,1,2,,17,,1,1,15,252,112,61,,,83,,,,6,1,,,1,1,11,5,,,0,17,17,1,17,0,,29,43,112,,56,42,41,,,6,6,,1,,27,28,17,27,1.00
File,"BasicYearDateTimeField.java",1,1,0,0,,1,1,,18,,1,1,16,146,89,40,,,62,,,,2,1,,,1,1,5,4,,,0,18,18,1,18,0,,22,33,35,,38,32,30,,,2,2,,1,,23,23,18,23,0.39
File,"BuddhistChronology.java",1,1,0,5,,1,6,,8,,0,2,8,238,99,55,,,73,,,,3,1,,,1,1,13,7,,,3,11,11,0,11,1,,28,38,111,,55,38,35,,,3,3,,1,,18,18,11,18,1.12
File,"CLDRTerritory.java",2,1,0,2,,1,1,,9,,1,2,7,188,112,62,,,87,,,,9,1,,,2,2,12,9,,,1,10,10,7,10,0,,20,39,56,,63,41,46,,,9,9,,4,,23,23,10,23,0.50
File,"CLDRTerritoryGenerator.java",4,2,0,4,,1,2,,9,,0,9,1,351,251,177,,,212,,,,10,3,,,4,4,23,18,,,1,10,10,4,10,0,,24,90,78,,175,94,118,,,10,10,,3,,42,42,20,42,0.31
File,"CachedDateTimeZone.java",1,1,0,0,,2,2,,17,,1,4,13,224,127,62,,,91,,,,3,3,,,1,1,6,5,,,1,18,18,9,18,0,,33,44,64,,59,42,49,,,3,4,,2,,30,35,22,30,0.50
File,"CachedDateTimeZone.java",1,1,0,0,,2,2,,17,,1,4,13,223,145,75,,,104,,,,3,3,,,1,1,6,5,,,1,18,18,11,18,0,,34,46,45,,69,44,60,,,3,4,,2,,30,35,22,30,0.31
File,"Calendar.java",1,1,0,0,,1,10,,6,,0,1,8,52,40,19,,,30,,,,1,1,,,1,1,3,3,,,3,9,9,0,9,0,,12,21,0,,20,21,9,,,1,1,,0,,9,9,9,9,0.00
File,"CalendarConverter.java",2,1,0,8,,1,1,,5,,0,0,4,135,54,27,,,40,,,,5,5,,,2,2,16,8,,,0,5,5,0,5,1,,11,23,70,,28,22,18,,,5,5,,2,,11,11,9,11,1.30
File,"CanadaAnniversaries.java",1,1,0,0,,9,8,,8,,0,0,8,105,68,46,,,29,,,,1,1,,,1,1,4,4,,,0,8,8,0,8,0,,11,21,26,,20,21,8,,,1,1,,0,,8,8,8,8,0.38
File,"CanadaStatutoryHolidays.java",1,1,0,0,,2,1,,1,,0,0,0,52,30,20,,,17,,,,1,1,,,1,1,20,20,,,0,1,1,0,1,1,,2,9,20,,15,8,9,,,1,1,,0,,1,1,1,1,0.67
File,"CharArrayWriter.java",0,0,0,0,,1,0,,0,,0,0,0,5,3,0,,,2,,,,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,2,2,0,,1,2,0,,,0,0,,0,,0,0,0,0,0.00
File,"Choice.java",0,0,0,0,,1,0,,3,,3,0,0,40,6,0,,,5,,,,0,0,,,0,0,0,0,,,0,0,3,0,3,0,,5,5,29,,4,5,0,,,0,0,,0,,0,0,0,0,4.83
