test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
1,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractAnnotation_addChangeListener_0_basic.dot,2,2,Constant,2.,2.
2,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractAnnotation_class$_0_basic.dot,2,2,Constant,2.,2.
3,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractAnnotation_clone_0_basic.dot,1,1,Constant,1.,1.
4,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractAnnotation_fireAnnotationChanged_0_basic.dot,2,2,Constant,2.,2.
5,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractAnnotation_getNotify_0_basic.dot,1,1,Constant,1.,1.
6,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractAnnotation_hasListener_0_basic.dot,1,1,Constant,1.,1.
7,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractAnnotation_<init>_0_basic.dot,1,1,Constant,1.,1.
8,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractAnnotation_notifyListeners_0_basic.dot,4,5,Exponential,3.7600000000000002*1.29^n,0.33 + 0.01*0.8300000000000001^n + 0.36*1.09^n + 1.3900000000000001*1.25^n + 3.7600000000000002*1.29^n
9,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractAnnotation_readObject_0_basic.dot,1,1,Constant,1.,1.
10,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractAnnotation_removeChangeListener_0_basic.dot,2,2,Constant,2.,2.
11,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractAnnotation_setNotify_0_basic.dot,2,2,Constant,2.,2.
12,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractAnnotation_writeObject_0_basic.dot,1,1,Constant,1.,1.
13,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractXYAnnotation_addEntity_0_basic.dot,3,3,Constant,3.,3.
14,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractXYAnnotation_equals_0_basic.dot,5,5,Constant,5.,5.
15,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractXYAnnotation_getToolTipText_0_basic.dot,1,1,Constant,1.,1.
16,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractXYAnnotation_getURL_0_basic.dot,1,1,Constant,1.,1.
17,/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/chart/org_jfree_chart_annotations_AbstractXYAnnotation_hashCode_0_basic.dot,3,4,Constant,4.,4.
